filename,date,lat_min,lat_max,lon_min,lon_max
Downloads/mrom_0767_F15_041461_3512_MA_00N006W_2015-06-01_27to45_345to366.tif,2015-06-01,27,45,345,366
Downloads/mrom_0770_F16_041890_0079_MA_00N199W_2015-07-04_42to64_152to173.tif,2015-07-04,42,64,152,173
Downloads/mrom_0771_F16_042026_0130_MA_00N312W_2015-07-15_-59to-45_39to60.tif,2015-07-15,-59,-45,39,60
Downloads/mrom_0772_F16_042105_0160_MA_00N309W_2015-07-21_-61to-47_42to63.tif,2015-07-21,-61,-47,42,63
Downloads/mrom_0772_F16_042127_0168_MA_00N190W_2015-07-23_40to55_161to182.tif,2015-07-23,40,55,161,182
Downloads/mrom_0772_F16_042159_0180_MA_00N343W_2015-07-25_-59to-38_8to29.tif,2015-07-25,-59,-38,8,29
Downloads/mrom_0774_F17_042253_0214_MA_00N030W_2015-08-01_-63to-47_321to342.tif,2015-08-01,-63,-47,321,342
Downloads/mrom_0775_F17_042468_0292_MA_00N140W_2015-08-18_-40to3_211to232.tif,2015-08-18,-40,3,211,232
Downloads/mrom_0776_F17_042528_0313_MA_00N338W_2015-08-23_-55to-38_13to34.tif,2015-08-23,-55,-38,13,34
Downloads/mrom_0776_F17_042573_0329_MA_00N127W_2015-08-26_-40to-16_224to245.tif,2015-08-26,-40,-16,224,245
Downloads/mrom_0777_F17_042583_0333_MA_00N040W_2015-08-27_-60to-44_311to332.tif,2015-08-27,-60,-44,311,332
Downloads/mrom_0777_F17_042603_0340_MA_00N226W_2015-08-29_-60to-39_125to146.tif,2015-08-29,-60,-39,125,146
Downloads/mrom_0777_F17_042613_0344_MA_00N139W_2015-08-29_-38to-5_212to233.tif,2015-08-29,-38,-5,212,233
Downloads/mrom_0778_F18_042642_0354_MA_00N211W_2015-09-01_-59to-37_140to161.tif,2015-09-01,-59,-37,140,161
Downloads/mrom_0778_F18_042679_0367_MA_00N141W_2015-09-04_40to60_210to231.tif,2015-09-04,40,60,210,231
Downloads/mrom_0778_F18_042694_0372_MA_00N191W_2015-09-05_-53to-34_160to181.tif,2015-09-05,-53,-34,160,181
Downloads/mrom_0778_F18_042701_0375_MA_00N022W_2015-09-05_-62to-28_329to350.tif,2015-09-05,-62,-28,329,350
Downloads/mrom_0778_F18_042704_0376_MA_00N104W_2015-09-05_-56to-41_247to268.tif,2015-09-05,-56,-41,247,268
Downloads/mrom_0778_F18_042731_0385_MA_00N121W_2015-09-08_-61to-41_230to251.tif,2015-09-08,-61,-41,230,251
Downloads/mrom_0779_F18_042745_0390_MA_00N143W_2015-09-09_-39to-1_208to229.tif,2015-09-09,-39,-1,208,229
Downloads/mrom_0779_F18_042784_0404_MA_00N128W_2015-09-12_-55to-16_223to244.tif,2015-09-12,-55,-16,223,244
Downloads/mrom_0780_F18_042848_0426_MA_00N075W_2015-09-17_-63to-31_276to297.tif,2015-09-17,-63,-31,276,297
Downloads/mrom_0780_F18_042864_0432_MA_00N152W_2015-09-18_-32to-2_199to220.tif,2015-09-18,-32,-2,199,220
Downloads/mrom_0780_F18_042874_0435_MA_00N065W_2015-09-19_-60to-39_286to307.tif,2015-09-19,-60,-39,286,307
Downloads/mrom_0780_F18_042877_0436_MA_00N147W_2015-09-19_-25to6_204to225.tif,2015-09-19,-25,6,204,225
Downloads/mrom_0780_F18_042889_0440_MA_00N115W_2015-09-20_-61to-23_236to257.tif,2015-09-20,-61,-23,236,257
Downloads/mrom_0781_F18_042973_0470_MA_00N248W_2015-09-26_-38to-23_103to124.tif,2015-09-26,-38,-23,103,124
