filename,date,lat_min,lat_max,lon_min,lon_max
possible_detections_J/mrom_0835_J03_046044_1569_MA_00N205W_2016-05-23_-54to-32_146to167.tif,2016-05-23,-54,-32,146,167
possible_detections_J/mrom_0885_J07_047473_2209_MA_00N339W_2016-09-11_7to43_12to33.tif,2016-09-11,7,43,12,33
possible_detections_J/mrom_0917_J11_049095_3000_MA_00N346W_2017-01-15_22to40_5to26.tif,2017-01-15,22,40,5,26
possible_detections_J/mrom_0878_J06_047229_2093_MA_00N157W_2016-08-23_-9to41_194to215.tif,2016-08-23,-9,41,194,215
possible_detections_J/mrom_0919_J11_049233_3063_MA_00N154W_2017-01-26_-43to5_197to218.tif,2017-01-26,-43,5,197,218
possible_detections_J/mrom_0891_J07_047719_2329_MA_00N216W_2016-09-30_34to61_135to156.tif,2016-09-30,34,61,135,156
possible_detections_J/mrom_0918_J11_049167_3033_MA_00N152W_2017-01-21_-43to1_199to220.tif,2017-01-21,-43,1,199,220
possible_detections_J/mrom_0856_J05_046543_1780_MA_00N148W_2016-07-01_-59to-41_203to224.tif,2016-07-01,-59,-41,203,224
possible_detections_J/mrom_0840_J04_046178_1625_MA_00N263W_2016-06-02_-57to-29_88to109.tif,2016-06-02,-57,-29,88,109
possible_detections_J/mrom_0837_J03_046097_1591_MA_00N212W_2016-05-27_-54to-29_139to160.tif,2016-05-27,-54,-29,139,160
possible_detections_J/mrom_0860_J05_046662_1832_MA_00N157W_2016-07-10_-61to-25_194to215.tif,2016-07-10,-61,-25,194,215
possible_detections_J/mrom_0828_J03_045837_1486_MA_00N313W_2016-05-07_-47to-28_38to59.tif,2016-05-07,-47,-28,38,59
possible_detections_J/mrom_0879_J06_047294_2123_MA_00N132W_2016-08-28_12to43_219to240.tif,2016-08-28,12,43,219,240
possible_detections_J/mrom_0846_J04_046322_1685_MA_00N235W_2016-06-13_-57to-37_116to137.tif,2016-06-13,-57,-37,116,137
possible_detections_J/mrom_0837_J03_046087_1587_MA_00N299W_2016-05-26_-60to-25_52to73.tif,2016-05-26,-60,-25,52,73
possible_detections_J/mrom_0839_J03_046154_1615_MA_00N328W_2016-05-31_-61to-17_23to44.tif,2016-05-31,-61,-17,23,44
possible_detections_J/mrom_0821_J02_045565_1380_MA_00N086W_2016-04-15_-31to-14_265to286.tif,2016-04-15,-31,-14,265,286
possible_detections_J/mrom_0924_J12_049596_3226_MA_00N343W_2017-02-24_21to39_8to29.tif,2017-02-24,21,39,8,29
possible_detections_J/mrom_0845_J04_046301_1676_MA_00N021W_2016-06-12_-48to-30_330to351.tif,2016-06-12,-48,-30,330,351
possible_detections_J/mrom_0926_J13_049761_3298_MA_00N167W_2017-03-08_-48to21_184to205.tif,2017-03-08,-48,21,184,205
possible_detections_J/mrom_0859_J05_046636_1821_MA_00N167W_2016-07-08_34to51_184to205.tif,2016-07-08,34,51,184,205
possible_detections_J/mrom_0928_J13_049905_3359_MA_00N138W_2017-03-20_18to41_213to234.tif,2017-03-20,18,41,213,234
possible_detections_J/mrom_0917_J11_049115_3009_MA_00N172W_2017-01-17_26to47_179to200.tif,2017-01-17,26,47,179,200
possible_detections_J/mrom_0870_J06_046953_1964_MA_00N182W_2016-08-02_-58to-40_169to190.tif,2016-08-02,-58,-40,169,190
possible_detections_J/mrom_0820_J02_045518_1362_MA_00N243W_2016-04-12_-46to-27_108to129.tif,2016-04-12,-46,-27,108,129
possible_detections_J/mrom_0846_J04_046306_1678_MA_00N158W_2016-06-12_-43to-11_193to214.tif,2016-06-12,-43,-11,193,214
possible_detections_J/mrom_0920_J12_049306_3097_MA_00N347W_2017-02-01_23to53_4to25.tif,2017-02-01,23,53,4,25
possible_detections_J/mrom_0859_J05_046630_1818_MA_00N003W_2016-07-07_-56to-23_348to369.tif,2016-07-07,-56,-23,348,369
possible_detections_J/mrom_0922_J12_049509_3188_MA_00N128W_2017-02-17_15to63_223to244.tif,2017-02-17,15,63,223,244
possible_detections_J/mrom_0918_J11_049162_3031_MA_00N016W_2017-01-21_27to43_335to356.tif,2017-01-21,27,43,335,356
possible_detections_J/mrom_0917_J11_049153_3027_MA_00N130W_2017-01-20_-43to3_221to242.tif,2017-01-20,-43,3,221,242
possible_detections_J/mrom_0929_J13_050039_3415_MA_00N197W_2017-03-30_39to60_154to175.tif,2017-03-30,39,60,154,175
possible_detections_J/mrom_0920_J12_049336_3110_MA_00N086W_2017-02-03_39to62_265to286.tif,2017-02-03,39,62,265,286
possible_detections_J/mrom_0878_J06_047246_2101_MA_00N261W_2016-08-24_-13to40_90to111.tif,2016-08-24,-13,40,90,111
possible_detections_J/mrom_0929_J13_050053_3421_MA_00N219W_2017-03-31_38to62_132to153.tif,2017-03-31,38,62,132,153
