Date,L_s,min_lat,max_lat,min_lon,max_lon,global_water_mean,global_temp_mean,storm_water_mean,storm_temp_mean
23/5/2016,156.7139606,-54,-32,146,167,0.001891125,171.5302917,0.002127192,172.8864722
11/9/2016,220.4729929,7,43,12,33,0.000312136,205.5232631,0.000205098,208.23685
15/1/2017,299.2445738,22,40,5,26,0.000324672,201.4968262,8.32E-05,195.895836
23/8/2016,208.8129446,-9,41,194,215,0.000733026,199.4893033,0.000246066,210.8228559
26/1/2017,305.7831811,-43,5,197,218,0.000201411,208.7774409,0.000281186,207.4927896
30/9/2016,232.3443544,34,61,135,156,0.001752625,187.2353697,0.001227723,191.7817294
21/1/2017,302.8238842,-43,1,199,220,0.000246681,208.3213927,0.000266494,205.8574468
1/7/2016,177.8388809,-59,-41,203,224,0.001402497,178.4729742,0.000834362,180.4510165
2/6/2016,161.9952875,-57,-29,88,109,0.001644877,171.5606854,0.000574386,185.4753381
27/5/2016,158.8155669,-54,-29,139,160,0.001897234,173.4856769,0.001283075,177.5498484
10/7/2016,182.9182512,-61,-25,194,215,0.001240779,183.374941,0.00076806,189.9350421
7/5/2016,148.4491514,-47,-28,38,59,0.001770715,176.53933,0.001211061,186.4903261
28/8/2016,211.8572348,12,43,219,240,0.000691824,199.7346412,0.000273487,204.1837174
13/6/2016,167.9114081,-57,-37,116,137,0.00179517,173.1449442,0.003844646,178.8557732
26/5/2016,158.2888089,-60,-25,52,73,0.001707777,169.3062508,0.00180661,186.5644509
31/5/2016,160.931712,-61,-17,23,44,0.00160755,170.8216802,0.000701777,183.7487797
15/4/2016,137.4342179,-31,-14,265,286,0.001375114,182.9335448,0.002210495,181.8648134
24/2/2017,322.5004181,21,39,8,29,0.000394846,201.4918959,0.000418759,198.3536086
12/6/2016,167.3688944,-48,-30,330,351,0.001779803,180.6796081,0.002158493,185.3300595
8/3/2017,329.1864546,-48,21,184,205,0.000280137,211.152633,0.000268602,211.9978744
8/7/2016,181.7828603,34,51,184,205,0.000724556,187.5797152,0.000677041,191.6309387
20/3/2017,335.7355888,18,41,213,234,0.000388372,203.0089922,0.000182868,208.3944764
17/1/2017,300.4410264,26,47,179,200,0.000642119,197.3661266,0.000259745,203.0431861
2/8/2016,196.242562,-58,-40,169,190,0.000686826,190.5582359,0.00050642,195.4268751
12/4/2016,135.9614353,-46,-27,108,129,0.001236289,176.8589133,0.000255671,181.5616013
12/6/2016,167.3688944,-43,-11,193,214,0.001665652,186.6369248,0.000826304,190.0931431
1/2/2017,309.3052943,23,53,4,25,0.001631638,188.8451001,0.000851042,190.9881296
7/7/2016,181.2165852,-56,-23,348,369,0.001691042,184.6449772,0.000157479,193.1248902
17/2/2017,318.5369708,15,63,223,244,0.001842472,179.6778556,0.000688631,195.3451609
21/1/2017,302.8238842,27,43,335,356,0.000310748,201.0574982,0.00026908,202.2385215
20/1/2017,302.2294394,-43,3,221,242,0.000246327,207.7934519,0.00043814,202.8480175
30/3/2017,341.0899182,39,60,154,175,0.002024669,176.1815604,0.001862513,178.1197643
3/2/2017,310.4721495,39,62,265,286,0.001800341,177.1790831,0.001177665,191.1440057
24/8/2016,209.4203236,-13,40,90,111,0.000461821,200.9700218,0.000395986,210.0314495
31/3/2017,341.6202625,38,62,132,153,0.001823125,178.8667752,0.00266699,179.0911544
18/5/2016,154.1071265,-5,19,208,229,0.001178306,193.2221526,0.00127004,190.2535856
13/4/2016,136.451618,-15,-1,282,303,0.001899997,184.8880694,0.00297161,180.5705636
13/3/2017,331.9318329,39,62,150,171,0.001877648,180.3191758,0.001528019,186.8511114
26/1/2017,305.7831811,6,30,224,245,0.000216871,203.7967538,0.000322541,200.2163284
16/2/2017,317.9669803,26,44,332,353,0.00047068,200.4726961,0.000248852,202.1617329
31/7/2016,195.0648404,3,70,50,71,0.001620482,174.5055589,0.000772784,190.7542874
5/6/2016,163.5975815,21,38,321,342,0.000597646,194.9864045,0.00032055,201.4524866
13/1/2017,298.0448333,15,38,322,343,0.000261024,202.9280371,0.000132099,207.7287597
4/7/2016,179.5234537,-58,-30,27,48,0.001417536,181.1569177,0.000696597,191.8054594
15/6/2016,168.9992667,-42,-28,208,229,0.001315455,187.3116661,0.000773081,186.1214787
5/6/2016,163.5975815,-55,-29,321,342,0.001603194,175.1630409,0.001465932,180.7856626
25/1/2017,305.1930614,39,61,247,268,0.002029071,175.857223,0.000854932,196.3249548
