Mission Subphase,Sol,Centroid Longitude,Centroid Latitude,Area,Maximum Latitude,Minimum Latitude,Confidence Interval,Horizontal Distance,Vertical Distance
B01,2,-117.05,-7.64999,35037.652,-5.45,-9.95,100,131.6655590415128,266.21070748356505
B01,12,-103.25,-15.25,188883.7,-10.95,-19.75,100,363.35665325237295,520.5898279678606
B01,14,25.25,-39.75,205953.44,-35.85,-42.95,75,488.1831960202223,420.0213384740696
B01,18,21.05,-39.85,157491.11,-36.45,-43.15,75,397.2827076717287,396.35816447553003
B01,19,29.55,-37.75,35856.617,-36.25,-39.15,75,208.88703422076628,171.55801148940847
B01,20,-91.95,-20.65,1343.6617,-20.15,-20.95,100,28.373020021544924,47.32634799707831
B01,24,37.55,-41.15,228938.06,-34.65,-45.15,50,362.2626875814482,621.1583174616517
B01,28,-22.45,-33.65,28879.043,-31.95,-35.85,75,125.56147380857458,230.71594648575675
B01,28,6.85001,-42.75,54687.711,-40.85,-44.55,75,249.6895978101764,218.8843594864864
B01,29,30.95,-38.35,206503.39,-32.55,-43.05,50,330.4203704907412,621.158317461652
B01,31,-99.85,-10.55,88252.352,-7.14999,-13.95,75,219.51218906177698,402.2745495545149
B01,31,21.85,-44.25,141555.06,-41.35,-46.15,50,494.46803572085963,283.95808798246907
B01,32,27.55,-43.75,107235.59,-41.95,-45.55,50,503.6106201018529,212.96856598685162
B02,1,32.15,-42.45,133621.84,-39.85,-45.35,50,411.8236420014532,325.368642479913
B02,1,-79.95,-23.95,291360.47,-19.65,-28.45,75,560.6597514215418,520.5898279678606
B02,1,-25.95,-39.25,306463.44,-33.65,-43.75,75,509.6051147637229,597.4951434631129
B02,1,-72.95,-14.45,441562.22,-7.05,-21.45,100,519.2448565303125,851.8742639474082
B02,1,-55.25,-14.95,276998.16,-8.45,-20.05,100,403.05634775392076,686.2320459576345
B02,1,-39.35,-28.95,477812.0,-19.35,-37.35,75,447.99605504899864,1064.8428299342606
B02,2,35.25,-39.85,230865.3,-34.65,-44.95,50,379.12055897262087,609.3267304623824
B02,2,66.55,-34.85,142513.47,-31.35,-38.55,75,335.2161883129737,425.937131973704
B02,2,-71.05,-40.35,136629.38,-35.55,-43.55,75,285.5713297430429,473.26347997078267
B02,2,-29.95,-16.65,1218658.2,-6.45,-28.75,50,934.3884654801253,1319.221950418556
B02,2,-56.25,-19.25,1248391.6,-9.55,-34.85,75,857.4603541703884,1496.6957554075993
B02,2,-80.35,-33.15,108755.73,-28.65,-36.85,100,223.37304999468716,485.09506697005224
B02,3,68.35,-33.55,166330.88,-29.75,-37.25,75,374.93642610917544,443.6845124726084
B02,3,35.45,-39.95,194849.67,-34.05,-44.75,50,305.8271847385666,632.9899044609216
B02,3,-17.55,-42.45,135396.05,-39.65,-44.55,50,464.6408237172725,289.87388148210385
B02,3,-27.85,-18.45,3351916.0,-5.14999,-33.75,50,2013.8853768946653,1691.9175324748971
B02,3,153.65,-34.75,352135.0,-30.95,-39.15,50,729.1877824468429,485.0950669700519
B02,4,68.75,-33.95,120336.36,-29.45,-37.95,75,238.83254172519088,502.8424474689566
B02,4,-72.25,-10.45,152627.17,-7.45,-13.65,100,416.46600024546575,366.7791969773563
B02,4,-53.35,-39.35,378639.44,-34.45,-46.85,50,527.1181855587594,733.5583939547126
B02,5,-47.85,-25.25,1956662.6,-3.35,-46.05,75,789.2790809734715,2526.043824344051
B02,6,-38.95,-21.35,2051696.5,-2.85,-41.65,75,916.9112367595712,2295.3278778582944
B02,6,-64.85,-18.55,1070407.2,-9.35,-29.65,100,901.1496846685972,1200.9060804258604
B02,7,-79.55,-37.25,107589.46,-34.65,-41.65,75,263.1488871064738,414.10554497443445
