MDGM,Year,Ls,lon,lat,area
P01day10,28,136.5,136.4,72.5,449000.0
P01day10,28,136.5,-113.8,79.4,167000.0
P01day10,28,136.5,-78.9,-39.1,254000.0
P01day10,28,136.5,35.8,-41.3,158000.0
P01day11,28,137.0,118.1,70.1,492000.0
P01day11,28,137.0,-78.4,-19.4,696000.0
P01day11,28,137.0,-51.5,-22.5,654000.0
P01day11,28,137.0,36.1,-41.3,161000.0
P01day12,28,137.5,105.6,62.4,755000.0
P01day12,28,137.5,-61.0,72.9,627000.0
P01day12,28,137.5,-166.8,72.9,174000.0
P01day12,28,137.5,-69.4,-14.6,731000.0
P01day12,28,137.5,-48.0,-16.9,625000.0
P01day12,28,137.5,-61.1,-44.8,97100.0
P01day12,28,137.5,14.8,-42.7,82600.0
P01day12,28,137.5,120.8,-40.0,738000.0
P01day12,28,137.5,34.5,-33.7,179000.0
P01day12,28,137.5,-37.8,-18.1,19400.0
P01day12,28,137.5,-17.2,-25.6,1090000.0
P01day12,28,137.5,64.9,-34.9,27300.0
P01day12,28,137.5,-46.4,-42.4,549000.0
P01day13,28,137.9,-49.2,70.1,1650000.0
P01day13,28,137.9,109.1,61.3,433000.0
P01day13,28,137.9,43.7,-33.4,311000.0
P01day13,28,137.9,-9.2,-23.0,299000.0
P01day13,28,137.9,148.1,-36.8,852000.0
P01day13,28,137.9,-94.7,-43.2,384000.0
P01day13,28,137.9,-40.5,-8.7,695000.0
P01day13,28,137.9,-68.3,-12.0,425000.0
P01day13,28,137.9,-20.5,-38.5,129000.0
P01day13,28,137.9,67.4,-33.9,136000.0
P01day13,28,137.9,-38.7,-41.2,206000.0
P01day13,28,137.9,-68.8,-30.4,65100.0
P01day13,28,137.9,16.3,-32.6,207000.0
P01day13,28,137.9,118.4,-37.8,468000.0
P01day14,28,138.4,-43.8,66.6,1160000.0
P01day14,28,138.4,100.8,56.3,204000.0
P01day14,28,138.4,165.8,-32.6,298000.0
P01day14,28,138.4,-87.6,-39.5,158000.0
P01day14,28,138.4,-86.3,-25.9,158000.0
P01day14,28,138.4,-40.2,-4.0,997000.0
P01day14,28,138.4,-64.1,-27.5,189000.0
P01day14,28,138.4,-6.7,-21.1,429000.0
P01day14,28,138.4,-65.9,-38.9,185000.0
P01day14,28,138.4,-57.6,-21.4,19200.0
P01day14,28,138.4,-61.1,-13.2,54000.0
P01day14,28,138.4,147.3,-34.7,686000.0
P01day15,28,138.9,-50.0,66.7,1020000.0
P01day15,28,138.9,-69.5,78.9,125000.0
P01day15,28,138.9,104.7,72.5,383000.0
P01day15,28,138.9,-6.5,-14.8,372000.0
P01day15,28,138.9,-51.4,-32.7,95800.0
P01day15,28,138.9,-52.1,-41.5,199000.0
